Ladekurvenmessung
Zeit: 2018_05_03 13.53.46
Info: FVA3, v = 2.06, T = 40, F = 20, h = 599.6
Ladewiderstand[Ohm]: 1012700
Störkapazität[pF]: 0.000000
Entladezeit[ms]: 200
Abtastrate[Hz]: 250000
Anzahl der Messwerte: 2500.000000
Verzögerung[ms]: 3
Ladespannung[V]: 0.200000
	Kurve_1	Kurve_2	Kurve_3	Kurve_4	Kurve_5	Kurve_6	Kurve_7	Kurve_8	Kurve_9	Kurve_10	Kurve_11	Kurve_12	Kurve_13	Kurve_14	Kurve_15	Kurve_16	Kurve_17	Kurve_18
88	0.003433	0.005405	-0.001827	0.005076	0.006062	0.00672	-0.000841	-0.003635	0.005898	-0.000347	-0.00347	-0.007415	0.003597	0.021348	-0.033712	0.001954	-0.013825	0.008199
89	0.003268	0.00294	-0.001005	0.005405	0.000639	0.008035	0.002447	-0.001991	0.006391	-0.001005	-0.003142	-0.005443	0.004419	0.017403	-0.029767	0.00294	-0.014647	0.005898
90	0.001625	0.00787	0.000474	0.005898	0.004583	0.008857	0.004255	-0.002484	0.005898	-0.000676	-0.002813	-0.005278	-0.000183	0.01954	-0.030425	0.003597	-0.012017	0.008528
91	0.003761	0.005898	0.000639	0.006062	0.001625	0.008035	0.001132	-0.003306	0.008528	-0.001991	-0.006429	-0.007579	-0.00347	0.020197	-0.028453	0.003597	-0.01629	0.008857
92	0.002447	0.009021	0.001132	0.005569	0.000474	0.010171	0.000803	-0.002484	0.005405	-0.004621	-0.002484	-0.004785	-0.004785	0.018225	-0.028453	0.005734	-0.01251	0.010007
93	0.004255	0.001789	-0.001991	0.007049	0.003926	0.009021	0.003268	-0.003799	0.006556	-0.002648	-0.005771	-0.005443	-0.005443	0.019704	-0.02648	-1.9e-05	-0.012839	0.011158
94	0.004583	0.004419	-1.9e-05	0.005076	0.002775	0.004583	0.001625	-0.001498	0.004912	-0.005607	-0.006757	-0.005771	-0.007415	0.018389	-0.023522	0.003597	-0.010373	0.011979
95	0.008035	0.005734	0.000639	0.006391	0.00294	0.009021	0.001625	-0.004128	0.005898	-0.002484	-0.002648	-0.004949	-0.010702	0.017732	-0.022207	0.002447	-0.013167	0.012965
96	0.003433	0.005241	-0.000676	0.005898	0.001296	0.003104	-0.000676	-0.002648	0.005241	-0.004128	-0.005607	-0.003799	-0.009551	0.021676	-0.022536	0.004748	-0.010045	0.013952
97	0.003433	0.003433	0.00146	0.007213	0.00294	0.005241	0.00031	-0.000347	0.001789	-0.002813	-0.004785	-0.006429	-0.013825	0.018225	-0.017605	0.00409	-0.010045	0.013459
98	0.00672	0.002611	-0.001662	0.006227	0.002447	0.006884	0.003761	-0.003142	0.004255	-0.003306	-0.0061	-0.006922	-0.01366	0.022169	-0.020563	-0.000676	-0.010045	0.012472
99	0.00935	0.003761	0.00031	0.008363	0.001789	0.005076	0.004419	-0.000841	0.004583	-0.00232	-0.005114	-0.005607	-0.014482	0.026114	-0.016783	0.003268	-0.010866	0.015924
100	0.006062	0.005734	-0.000841	0.005734	0.00031	0.005898	0.004583	-0.000512	0.004912	-0.006429	-0.007415	-0.005607	-0.015797	0.021183	-0.01514	-0.000841	-0.010866	0.013952
101	0.008528	0.006391	-1.9e-05	0.00935	0.002447	0.00672	0.005076	0.000146	0.004255	-0.007086	-0.007415	-0.00347	-0.017769	0.023484	0.00031	0.002118	-0.008072	0.017567
102	0.006227	0.005076	-0.000183	0.004748	-0.001991	0.006391	0.005405	0.00031	0.005405	-0.00347	-0.008072	-0.006593	-0.02007	0.022334	0.000803	0.004912	-0.013332	0.015924
103	0.007049	0.005569	-1.9e-05	0.007049	-0.001662	0.007049	0.004255	-0.000183	0.00409	-0.005936	-0.005443	-0.005936	-0.022864	0.020033	-0.001005	-0.006593	-0.008401	0.02069
104	0.005734	0.003104	-0.001991	0.009021	0.000146	0.009843	0.005076	-0.001498	0.005734	-0.003799	-0.0061	-0.005114	-0.027959	0.021676	0.003433	0.002611	-0.00988	0.022334
105	0.005241	0.004748	0.001625	0.004583	-0.000512	0.00787	0.005241	0.001296	0.006062	-0.003635	-0.005936	-0.007744	-0.030425	0.02332	0.003268	0.002447	-0.00988	0.019047
