x-axis,y_1,y_2
Hz,Cp,D 
65102.500000,8.821423E-12,6.665221E-02
65350.000000,8.792732E-12,6.573569E-02
65597.500000,8.774765E-12,6.799627E-02
65845.000000,8.813771E-12,7.084867E-02
66092.500000,8.813252E-12,7.000607E-02
66340.000000,8.806322E-12,6.540234E-02
66587.500000,8.803448E-12,6.718867E-02
66835.000000,8.809800E-12,6.888466E-02
67082.500000,8.754087E-12,6.984254E-02
67330.000000,8.792198E-12,6.778982E-02
67577.500000,8.776566E-12,7.081289E-02
67825.000000,8.777973E-12,6.635725E-02
68072.500000,8.819011E-12,7.185011E-02
68320.000000,8.802814E-12,6.419578E-02
68567.500000,8.804118E-12,6.573612E-02
68815.000000,8.777572E-12,6.562514E-02
69062.500000,8.768781E-12,6.974457E-02
69310.000000,8.751215E-12,6.473380E-02
69557.500000,8.775048E-12,7.017052E-02
69805.000000,8.796116E-12,7.079248E-02
70052.500000,8.818354E-12,6.398924E-02
70300.000000,8.783379E-12,6.954893E-02
70547.500000,8.761361E-12,6.650724E-02
70795.000000,8.780413E-12,6.744323E-02
71042.500000,8.778678E-12,6.861428E-02
71290.000000,8.767895E-12,7.224774E-02
71537.500000,8.755134E-12,6.971220E-02
71785.000000,8.772706E-12,6.720845E-02
72032.500000,8.752583E-12,6.696597E-02
72280.000000,8.751379E-12,7.066754E-02
72527.500000,8.755017E-12,6.765458E-02
72775.000000,8.780615E-12,7.093646E-02
73022.500000,8.735202E-12,6.882576E-02
73270.000000,8.749551E-12,6.556045E-02
73517.500000,8.715812E-12,6.493414E-02
73765.000000,8.787240E-12,7.084170E-02
74012.500000,8.736549E-12,7.134765E-02
74260.000000,8.757927E-12,6.864148E-02
74507.500000,8.743065E-12,7.071305E-02
74755.000000,8.742009E-12,7.024023E-02
75002.500000,8.752268E-12,6.824858E-02
75250.000000,8.747235E-12,6.500653E-02
75497.500000,8.751556E-12,7.090983E-02
75745.000000,8.749764E-12,6.832645E-02
75992.500000,8.720775E-12,6.985842E-02
76240.000000,8.745581E-12,6.796223E-02
76487.500000,8.723419E-12,6.779227E-02
76735.000000,8.741842E-12,6.728005E-02
76982.500000,8.751591E-12,6.993963E-02
77230.000000,8.713546E-12,6.962619E-02
77477.500000,8.714286E-12,7.338355E-02
77725.000000,8.720958E-12,6.757575E-02
77972.500000,8.731921E-12,7.423843E-02
78220.000000,8.731461E-12,6.709170E-02
78467.500000,8.744834E-12,6.875331E-02
78715.000000,8.719508E-12,7.192798E-02
78962.500000,8.698866E-12,6.677476E-02
79210.000000,8.707645E-12,7.319829E-02
79457.500000,8.728145E-12,6.622163E-02
79705.000000,8.697884E-12,7.009543E-02
79952.500000,8.713148E-12,7.247528E-02
80200.000000,8.692694E-12,7.028373E-02
80447.500000,8.729425E-12,6.992404E-02
80695.000000,8.701530E-12,7.410835E-02
80942.500000,8.666150E-12,7.063341E-02
81190.000000,8.669327E-12,7.066964E-02
81437.500000,8.702688E-12,6.776896E-02
81685.000000,8.669058E-12,7.080525E-02
81932.500000,8.703318E-12,7.118049E-02
82180.000000,8.701961E-12,6.931661E-02
82427.500000,8.680718E-12,7.055713E-02
82675.000000,8.686857E-12,7.201485E-02
82922.500000,8.690476E-12,7.340546E-02
83170.000000,8.703782E-12,7.261521E-02
83417.500000,8.691323E-12,7.073290E-02
83665.000000,8.681531E-12,7.218422E-02
83912.500000,8.659860E-12,7.276089E-02
84160.000000,8.669345E-12,6.908284E-02
84407.500000,8.686204E-12,6.961288E-02
84655.000000,8.702083E-12,6.938804E-02
84902.500000,8.686419E-12,7.175764E-02
85150.000000,8.669713E-12,7.145701E-02
85397.500000,8.680390E-12,7.115614E-02
85645.000000,8.680749E-12,7.120904E-02
85892.500000,8.680744E-12,7.188271E-02
86140.000000,8.662127E-12,7.238668E-02
86387.500000,8.677608E-12,6.948376E-02
86635.000000,8.662879E-12,7.151380E-02
86882.500000,8.674351E-12,7.221255E-02
